scale,name,serie,serie_name
d,d_commuteofftimecostpc1,d_commuteofftimecost,
d,d_commuteofftimecostpc2,d_commuteofftimecost,
d,d_commuteofftimecostpc3,d_commuteofftimecost,
d,d_commuteofftimecostpc4,d_commuteofftimecost,
d,d_commuteofftimecostpc5,d_commuteofftimecost,
d,d_commuteofftimecostpc6,d_commuteofftimecost,
d,d_commutetotimecostpc1,d_commutetotimecost,
d,d_commutetotimecostpc2,d_commutetotimecost,
d,d_commutetotimecostpc3,d_commutetotimecost,
d,d_commutetotimecostpc4,d_commutetotimecost,
d,d_commutetotimecostpc5,d_commutetotimecost,
d,d_commutetotimecostpc6,d_commutetotimecost,
d,d_energycosttranspkmcngbus,d_energycosttranspkmcng,
d,d_energycosttranspkmcngmbl,d_energycosttranspkmcng,
d,d_energycosttranspkmcngmotor,d_energycosttranspkmcng,
d,d_energycosttranspkmdslbus,d_energycosttranspkmds,
d,d_energycosttranspkmdslmbl,d_energycosttranspkmds,
d,d_energycosttranspkmdslmotor,d_energycosttranspkmds,
d,d_energycosttranspkmelebus,d_energycosttranspkmele,
d,d_energycosttranspkmelembl,d_energycosttranspkmele,
d,d_energycosttranspkmelemotor,d_energycosttranspkmele,
d,d_energycosttranspkmptrbus,d_energycosttranspkmptr,
d,d_energycosttranspkmptrmbl,d_energycosttranspkmptr,
d,d_energycosttranspkmptrmotor,d_energycosttranspkmptr,
d,d_jobcountjc1,d_jobcount,
d,d_jobcountjc2,d_jobcount,
d,d_jobcountjc3,d_jobcount,
d,d_jobcountjc4,d_jobcount,
d,d_jobcountjc5,d_jobcount,
d,d_jobcountjc6,d_jobcount,
d,d_jobcountjc7,d_jobcount,
d,d_jobdensityjc1,d_jobdensity,
d,d_jobdensityjc2,d_jobdensity,
d,d_jobdensityjc3,d_jobdensity,
d,d_jobdensityjc4,d_jobdensity,
d,d_jobdensityjc5,d_jobdensity,
d,d_jobdensityjc6,d_jobdensity,
d,d_jobdensityjc7,d_jobdensity,
d,d_jobhouseratiojc1,d_jobhouseratio,
d,d_jobhouseratiojc2,d_jobhouseratio,
d,d_jobhouseratiojc3,d_jobhouseratio,
d,d_jobhouseratiojc4,d_jobhouseratio,
d,d_jobhouseratiojc5,d_jobhouseratio,
d,d_jobhouseratiojc6,d_jobhouseratio,
d,d_jobhouseratiojc7,d_jobhouseratio,
d,d_landusearealc1,d_landusearea,
d,d_landusearealc2,d_landusearea,
d,d_landusearealc3,d_landusearea,
d,d_landusearealc4,d_landusearea,
d,d_landusearealc5,d_landusearea,
d,d_landusearealc6,d_landusearea,
d,d_landusearealc7,d_landusearea,
d,d_landusearealc8,d_landusearea,
d,d_popcountpc1,d_popcount,
d,d_popcountpc2,d_popcount,
d,d_popcountpc3,d_popcount,
d,d_popcountpc4,d_popcount,
d,d_popcountpc5,d_popcount,
d,d_popcountpc6,d_popcount,
d,d_popdensitypc1,d_popdensity,
d,d_popdensitypc2,d_popdensity,
d,d_popdensitypc3,d_popdensity,
d,d_popdensitypc4,d_popdensity,
d,d_popdensitypc5,d_popdensity,
d,d_popdensitypc6,d_popdensity,
d,d_transattcvolumepc1,d_transattcvolume,
d,d_transattcvolumepc2,d_transattcvolume,
d,d_transattcvolumepc3,d_transattcvolume,
d,d_transattcvolumepc4,d_transattcvolume,
d,d_transattcvolumepc5,d_transattcvolume,
d,d_transattcvolumepc6,d_transattcvolume,
d,d_transflowtc1,d_transflow,
d,d_transflowtc2,d_transflow,
d,d_transflowtc3,d_transflow,
d,d_transflowtc4,d_transflow,
d,d_transflowtc5,d_transflow,
d,d_transflowtc6,d_transflow,
d,d_transflowtc7,d_transflow,
d,d_transgenvolumepc1,d_transgenvolume,
